Settlement Type,Sett No,Trade Date,Obligation Date,Daily Settlement Date
5,2025561,02-Apr-25,02-Apr-25,02-Apr-25
5,2025562,03-Apr-25,03-Apr-25,03-Apr-25
5,2025563,04-Apr-25,04-Apr-25,04-Apr-25
5,2025564,07-Apr-25,07-Apr-25,07-Apr-25
5,2025565,08-Apr-25,08-Apr-25,08-Apr-25
5,2025566,09-Apr-25,09-Apr-25,09-Apr-25
5,2025567,11-Apr-25,11-Apr-25,11-Apr-25
5,2025568,15-Apr-25,15-Apr-25,15-Apr-25
5,2025569,16-Apr-25,16-Apr-25,16-Apr-25
5,2025570,17-Apr-25,17-Apr-25,17-Apr-25
5,2025571,21-Apr-25,21-Apr-25,21-Apr-25
5,2025572,22-Apr-25,22-Apr-25,22-Apr-25
5,2025573,23-Apr-25,23-Apr-25,23-Apr-25
5,2025574,24-Apr-25,24-Apr-25,24-Apr-25
5,2025575,25-Apr-25,25-Apr-25,25-Apr-25
5,2025576,28-Apr-25,28-Apr-25,28-Apr-25
5,2025577,29-Apr-25,29-Apr-25,29-Apr-25
5,2025578,30-Apr-25,30-Apr-25,30-Apr-25
